image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,1,0.90634,car,car,True
drive_022,2,3,0.810438,car,car,True
drive_022,3,4,0.696577,van,car,False
drive_022,4,5,0.800032,truck,bus,False
drive_022,5,2,0.89176,bus,van,False
drive_033,2,9,0.862019,car,car,True
drive_033,11,5,0.758656,car,car,True
drive_033,12,7,0.897081,car,car,True
drive_033,13,3,0.759916,car,car,True
drive_033,14,6,0.760477,car,car,True
drive_033,15,2,0.781435,truck,bus,False
drive_033,16,1,0.960586,bus,van,False
drive_033,24,4,0.674333,car,car,True
drive_033,27,10,0.827672,car,car,True
drive_033,28,8,0.862775,car,car,True
drive_033,29,11,0.887157,car,car,True
drive_038,25,9,0.871068,truck,bus,False
drive_038,26,5,0.944422,truck,bus,False
drive_038,27,1,0.922183,car,car,True
drive_038,28,2,0.926092,car,car,True
drive_038,29,3,0.905877,car,car,True
drive_038,30,4,0.932866,car,car,True
drive_038,31,7,0.748163,car,car,True
drive_038,32,8,0.862408,car,car,True
drive_038,33,11,0.83136,car,car,True
drive_038,34,10,0.7545,car,car,True
drive_038,35,13,0.83741,car,car,True
drive_038,36,14,0.837208,car,car,True
drive_038,38,12,0.699034,car,car,True
drive_038,45,17,0.841142,car,car,True
drive_038,46,16,0.839684,car,car,True
drive_038,48,6,0.867248,van,car,False
drive_038,49,15,0.830248,van,truck,False
drive_008,1,6,0.865789,car,car,True
drive_008,4,12,0.869091,van,truck,False
drive_008,5,3,0.92307,van,truck,False
drive_008,8,9,0.953938,bus,van,False
drive_008,9,11,0.901665,car,car,True
drive_008,10,4,0.899942,car,car,True
drive_008,11,16,0.860714,car,car,True
drive_008,12,2,0.882488,car,car,True
drive_008,14,7,0.723379,car,car,True
drive_008,15,13,0.681405,car,car,True
drive_008,16,14,0.850046,car,car,True
drive_008,17,15,0.175975,car,car,True
drive_008,21,5,0.796429,van,truck,False
drive_008,27,1,0.804298,truck,bus,False
